,element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Tally material,Weight (kg),Data Source (Material Quantities),Building Material_name,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential,template_model,Data Source,Tally dist_truck,scenario
6881,Element_0,26,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",201466,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",Transportation: A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STR3_ENCO7_ENCT2_ENCR1,,24,Intentional Sourcing
6882,Element_1,27,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Steel reinforcement,"Steel, reinforcing rod",15043,Calculated from takeoff from Revit,"Steel, reinforcing rod",Transportation: A4,980.81564583268,,,5.0084203191456,0.29215785195016,160.68681857258798,5.92663071098896e-06,STR3_ENCO7_ENCT2_ENCR1,,431,Intentional Sourcing
6883,Element_2,28,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",Transportation: A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STR3_ENCO7_ENCT2_ENCR1,,24,Intentional Sourcing
6884,Element_3,29,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Steel reinforcement,"Steel, reinforcing rod",23115,Calculated from takeoff from Revit,"Steel, reinforcing rod",Transportation: A4,1507.1165095673998,,,7.695914091407999,0.4489283219988,246.91057709934,9.1068316748328e-06,STR3_ENCO7_ENCT2_ENCR1,,431,Intentional Sourcing
6885,Element_4,30,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Concrete slab on grade,"Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",Transportation: A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STR3_ENCO7_ENCT2_ENCR1,,24,Intentional Sourcing
6886,Element_5,31,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh",3601,Calculated from takeoff from Revit,"Steel, welded wire mesh",Transportation: A4,234.78808353676,,,1.1989178733792,0.06993687594712,38.465281770916,1.41871948349872e-06,STR3_ENCO7_ENCT2_ENCR1,,431,Intentional Sourcing
6887,Element_6,32,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi, 20% fly ash",1607445,Calculated from takeoff from Revit,"Lightweight concrete, 5000 psi",Transportation: A4,5836.104009892801,,,29.801382178176,1.7384139603936002,956.12767821648,3.52649689108416e-05,STR3_ENCO7_ENCT2_ENCR1,,24,Intentional Sourcing
6888,Element_7,33,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Cross laminated timber,CLT (Cross laminated timber),775305,Calculated from takeoff from Revit,CLT (Cross laminated timber),Transportation: A4,54890.1095080104,,,280.289920891968,16.350245385364797,8992.634961950638,0.0003316764063888,STR3_ENCO7_ENCT2_ENCR1,,468,Intentional Sourcing
6889,Element_8,34,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh",10802,Calculated from takeoff from Revit,"Steel, welded wire mesh",Transportation: A4,704.2990498095199,,,3.5964206798784,0.20979120632624,115.385163479432,4.25576447118944e-06,STR3_ENCO7_ENCT2_ENCR1,,431,Intentional Sourcing
6890,Element_9,35,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: beams,Glue laminated timber,"Glue laminated timber (Glulam), AWC - EPD",54158,Calculated from takeoff from Revit,Glue laminated timber (Glulam),Transportation: A4,3834.28270259424,,,19.5793159281408,1.14212676247488,628.169719361184,2.316885718163328e-05,STR3_ENCO7_ENCT2_ENCR1,,468,Intentional Sourcing
6891,Element_10,36,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: girders,Glue laminated timber,"Glue laminated timber (Glulam), AWC - EPD",227907,Calculated from takeoff from Revit,Glue laminated timber (Glulam),Transportation: A4,16135.37922190896,,,82.39342581400321,4.80628317248352,2643.455744865936,9.749888721323712e-05,STR3_ENCO7_ENCT2_ENCR1,,468,Intentional Sourcing
6892,Element_11,37,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural columns,Glue laminated timber,"Glue laminated timber (Glulam), AWC - EPD",136704,Calculated from takeoff from Revit,Glue laminated timber (Glulam),Transportation: A4,9678.38145011712,,,49.42152229847041,2.88292213407744,1585.607173742592,5.848213471985664e-05,STR3_ENCO7_ENCT2_ENCR1,,468,Intentional Sourcing
6893,Element_12,38,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural walls,Concrete shear wall,"Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,"Normalweight concrete, 6000 psi",Transportation: A4,3173.6530614979206,,,16.2058879736064,0.9453434651270402,519.938905819872,1.9176967435434243e-05,STR3_ENCO7_ENCT2_ENCR1,,24,Intentional Sourcing
6894,Element_13,39,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural walls,Steel reinforcement,"Steel, reinforcing rod",65267,Calculated from takeoff from Revit,"Steel, reinforcing rod",Transportation: A4,4255.46066320292,,,21.7300118972064,1.2675840273370398,697.1712150353719,2.571384741169424e-05,STR3_ENCO7_ENCT2_ENCR1,,431,Intentional Sourcing
6895,Element_14,53,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Insulation,"Mineral wool, low density, NAIMA - EPD",10632,"Kaleidoscope Calculator, Payette","4.5"" Mineral wool insulation",Transportation: A4,276.64261056384004,,,1.4126431177728005,0.08240418187008,45.32230002854401,1.6716276893644802e-06,STR3_ENCO7_ENCT2_ENCR1,,172,Intentional Sourcing
6896,Element_15,54,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Wall structure,Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette","6"" galvanized steel stud framing",Transportation: A4,976.381991381,,,4.98578038152,0.290837188922,159.9604539071,5.899840118132e-06,STR3_ENCO7_ENCT2_ENCR1,,431,Intentional Sourcing
6897,Element_16,55,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Support,Galvanized steel,97036,"Kaleidoscope Calculator, Payette",Galvanized steel support system,Transportation: A4,6326.824902547361,,,32.3071909917312,1.88458614118432,1036.522377651376,3.823017600688192e-05,STR3_ENCO7_ENCT2_ENCR1,,431,Intentional Sourcing
6898,Element_17,56,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,AVB,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette",AVB membrane,Transportation: A4,174.82709747728,,,0.8927341147776001,0.05207615669536,28.641886182448005,1.05640203582016e-06,STR3_ENCO7_ENCT2_ENCR1,,172,Intentional Sourcing
6899,Element_18,57,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Wall structure,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette",Sheathing,Transportation: A4,787.3854437803201,,,4.0206916278144,0.23454034495584,128.99718972571202,4.757818426247041e-06,STR3_ENCO7_ENCT2_ENCR1,,172,Intentional Sourcing
6900,Element_19,58,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Interior finish,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",Acrylic latex paint,Transportation: A4,74.15146381932,,,0.3786457726944,0.02208767007384,12.148218540612,4.4806416435504e-07,STR3_ENCO7_ENCT2_ENCR1,,642,Intentional Sourcing
6901,Element_20,59,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Exterior finish,GFRC,170263,"Kaleidoscope Calculator, Payette",Glass fiber reinforced concrete (GFRC) Panel,Transportation: A4,618.1689432835201,,,3.1566073699584005,0.18413542991424,101.27448645283202,3.73531872111744e-06,STR3_ENCO7_ENCT2_ENCR1,,24,Intentional Sourcing
6902,Element_21,60,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO7,Rainscreen: GFRC,Interior finish,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",Gypsum wall board,Transportation: A4,797.35103067328,,,4.0715797310976,0.2375088176473599,130.62984970604802,4.81803601513216e-06,STR3_ENCO7_ENCT2_ENCR1,,172,Intentional Sourcing
